k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.60603565,0.8685258964108824,0.9909090909045868,218,33,2,3,0.0095703125,0.009013944223107568,0.0005563682768924324
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.60603565,0.8426966292040146,0.5952380952333711,75,14,51,116,0.0252685546875,0.007233146067415731,0.018035408620084268
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.60603565,0.6477987421342906,0.7357142857090306,103,56,37,60,0.026928710937500003,0.021894654088050317,0.005034056849449686
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6152751,0.7285714285610204,0.36956521738862635,51,19,87,99,0.0283203125,0.008928571428571428,0.019391741071428572
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6152751,0.8958333333240017,0.6564885496133093,86,10,45,115,0.023046875,0.002994791666666667,0.020052083333333335
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6152751,0.9651162790585451,0.47976878612439444,83,3,90,80,0.019604492187500003,0.0018895348837209302,0.01771495730377907
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6152751,0.9138755980817518,0.868181818177872,191,18,29,18,0.0095703125,0.0038277511961722485,0.005742561303827752
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6152751,0.9607843137066514,0.3888888888858025,49,2,77,128,0.0252685546875,0.003308823529411765,0.021959731158088233
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6152751,0.9591836734498127,0.33571428571188777,47,2,93,114,0.026928710937500003,0.0031887755102040817,0.02373993542729592
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.64765376,0.817073170721743,0.48550724637329346,67,15,71,103,0.0283203125,0.005564024390243902,0.0227562881097561
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.64765376,0.761904761898715,0.7328244274753221,96,30,35,95,0.023046875,0.012202380952380952,0.010844494047619049
