k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.7603027,0.9425287356213502,0.6890756302463102,82,5,37,132,0.039453125,0.0020114942528735636,0.037441630747126434
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.7603027,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.7603027,0.99999999975,0.02857142857122449,4,0,136,116,0.026928710937499996,0.0,0.026928710937499996
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.626125,0.9999999998571428,0.04046242774543086,7,0,166,83,0.0196044921875,0.0,0.0196044921875
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.626125,0.999999999875,0.06349206349155959,8,0,118,130,0.0252685546875,0.0,0.0252685546875
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.626125,0.0,0.0,0,0,138,118,0.0283203125,,
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.626125,0.0,0.0,0,0,220,36,0.0095703125,,
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.626125,0.9666666666505556,0.4873949579790975,58,2,61,135,0.039453125,0.0017708333333333335,0.037682291666666666
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.626125,0.999999999875,0.061068702289610165,8,0,123,125,0.023046875,0.0,0.023046875
1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.626125,0.0,0.0,0,0,140,116,0.026928710937499996,,
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.67605454,0.9999999999850746,0.38728323699198103,67,0,106,83,0.0196044921875,0.0,0.0196044921875
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.67605454,0.9999999999375,0.12698412698311917,16,0,110,130,0.0252685546875,0.0,0.0252685546875
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.67605454,0.0,0.0,0,0,138,118,0.0283203125,,
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.67605454,0.9999999999904762,0.47727272727055786,105,0,115,36,0.0095703125,0.0,0.0095703125
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.67605454,0.0,0.0,0,0,119,137,0.039453125,,
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.67605454,0.9999999999736843,0.2900763358756483,38,0,93,125,0.023046875,0.0,0.023046875
1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.67605454,0.0,0.0,0,0,100,156,0.039282226562499994,,
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.6010824,0.8461538461445477,0.5579710144887104,77,14,61,104,0.0283203125,0.004807692307692308,0.023512620192307692
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.6010824,0.9606986899521367,0.9999999999954546,220,9,0,27,0.0095703125,0.0013919213973799126,0.008178391102620088
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.6010824,0.9999999999787235,0.39495798318995834,47,0,72,137,0.039453125,0.000398936170212766,0.039054188829787236
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.6010824,0.8473282442683411,0.8473282442683411,111,20,20,105,0.023046875,0.0057251908396946565,0.017321684160305346
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.6010824,0.9999999999814816,0.5399999999946,54,0,46,156,0.039282226562499994,0.000462962962962963,0.03881926359953703
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.6010824,0.8620689655112962,0.8928571428507653,125,20,15,96,0.026928710937499996,0.006724137931034484,0.020204573006465512
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6991663,0.9999999999883721,0.6825396825342656,86,0,40,130,0.0252685546875,7.267441860465116e-05,0.025195880268895347
