k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.06246448,0.6757812499973602,0.9999999999942197,173,83,0,0,0.019604492187500003,0.019604492187500003,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.06246448,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.06246448,0.46484374999818423,0.9999999999915966,119,137,0,0,0.03945312499999999,0.03945312499999999,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.06246448,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.06246448,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.06246448,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.6810062,0.9243697478913918,0.8396946564821398,110,9,21,116,0.023046875,0.0030987394957983196,0.019948135504201683
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.6810062,0.955555555534321,0.3115942028962928,43,2,95,116,0.0283203125,0.0020833333333333333,0.026236979166666667
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.6810062,0.9999999999777779,0.37815126050102393,45,0,74,137,0.03945312499999999,0.0002777777777777778,0.03917534722222221
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.6810062,0.9459459459331628,0.5555555555511463,70,4,56,126,0.0252685546875,0.0011824324324324323,0.02408612225506757
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.6810062,0.738888888884784,0.9499999999932144,133,47,7,69,0.026928710937500003,0.012951388888888887,0.013977322048611115
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.6810062,0.9999999999696971,0.3299999999967,33,0,67,156,0.039282226562499994,0.0,0.039282226562499994
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.8382193,0.999999999990909,0.8396946564821398,110,0,21,125,0.023046875,0.0002840909090909091,0.022762784090909094
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.8382193,0.9999999999910714,0.6473988439268937,112,0,61,83,0.019604492187500003,0.0,0.019604492187500003
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.8382193,0.9999999999878049,0.6890756302463102,82,0,37,137,0.03945312499999999,0.0013719512195121953,0.038081173780487795
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.8382193,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.8382193,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937500003,8.223684210526316e-05,0.02684647409539474
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.8382193,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.7327432,0.7999999999946668,0.9160305343441525,120,30,11,95,0.023046875,0.009458333333333334,0.013588541666666667
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.7327432,0.9999999999910714,0.6473988439268937,112,0,61,83,0.019604492187500003,0.0,0.019604492187500003
2,crp_dataset_8_1_7.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7327432,0.7499999999930556,0.5869565217348772,81,27,57,91,0.0283203125,0.01059027777777778,0.017730034722222218
