model,k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.7575,0.9999999999910714,0.6473988439268937,112,0,61,83,0.019604492187500003,0.0,0.019604492187500003
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.7575,0.9999999999861111,0.521739130431002,72,0,66,118,0.0283203125,0.002777777777777778,0.02554253472222222
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.7575,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.7575,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.6633333333333333,0.6903225806407076,0.7642857142802552,107,48,33,68,0.026928710937500003,0.01620967741935484,0.010719033518145162
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.6633333333333333,0.6218487394905727,0.5873015872969262,74,45,52,85,0.0252685546875,0.014285714285714287,0.010982840401785713
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.6633333333333333,0.818181818177443,0.884393063578703,153,34,20,49,0.019604492187500003,0.00945855614973262,0.010145936037767382
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.6633333333333333,0.7522935779747496,0.5942028985464188,82,27,56,91,0.0283203125,0.010263761467889909,0.01805655103211009
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.6633333333333333,0.7344632768320087,0.9923664122061652,130,47,1,78,0.023046875,0.011334745762711863,0.011712129237288139
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.6633333333333333,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.7466666666666667,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937500003,8.223684210526316e-05,0.02684647409539474
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.7466666666666667,0.9677419354682623,0.4761904761866969,60,2,66,128,0.0252685546875,0.001209677419354839,0.02405887726814516
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.7466666666666667,0.9999999999910714,0.6473988439268937,112,0,61,83,0.019604492187500003,0.0,0.019604492187500003
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.7466666666666667,0.9146341463303093,0.543478260865627,75,7,63,111,0.0283203125,0.004801829268292684,0.023518483231707316
